,StaffID,Name,Password,StaffID
0,064E17D2-5A3C-70DE-A368-F82BC406688F,Linda Cline,UMQ92KAC6GC,20000
1,446DD0AE-74CD-67D6-2CFB-988A4C18BA17,Quinn Hinton,RRP87CRY1ZA,20001
2,9A9171D7-2272-3215-EB54-2C3685323D13,Kieran Maldonado,GUZ50BSM8JK,20002
3,0C94E9EE-5C98-DADC-6912-07FEE8E5A499,Zoe Molina,UBG96OFM3FK,20003
4,1236E488-A92E-D788-64BA-37C2E0134813,Rafael Marsh,JPK97JQX6QT,20004
5,AE437F78-9298-1C13-13E3-5DCE11EA92E3,Tyrone Preston,FNE88VGZ4CK,20005
6,CB69E71F-3ACB-29E1-3ED7-8302C2E2CA89,Thor Allison,UTD81WIP8VT,20006
7,55645444-A9C4-C3D4-A785-4A68D1467F4C,Elaine Church,UBH43TTT9SA,20007
8,A5307082-52AC-974D-4E08-C5B72B1406E7,Martina Price,PPX38KMP6RH,20008
9,ED2CB743-CB9C-43C4-B8F9-5335D3055BFE,Jared Elliott,YHT34PPF6BE,20009
