UserID,Name,FavouriteGenre,Password,Fine
55C56132-5D61-6099-4AA6-D3F95BE00C53,Jolene Rhodes,Technology & Engineering,FEP13BWO2FX,4.89
5BB540F2-E3D1-63DE-6157-A880459867A7,Basia Gill,Fiction,SNS82NRE7MT,4.82
2D230EB9-34B7-74CD-CA33-5CD264AB55EE,Madaline Carver,Political Science,OXW31XKS3OA,5.09
877CF522-EF1B-25B6-3AE9-C2D5825C730A,Dawn Henry,Biography & Autobiography,XGP44KYN4HI,5.05
5434C1C5-1AEE-4CC9-B33C-87A95BA10AB3,Christen Mclaughlin,Technology & Engineering,FPM93RKT5SO,4.93
CB2FE1D3-1C50-586F-5626-FA41617C7E84,Uta Stevens,Pets,VMW22MWP5BC,5.15
9C7BA222-3CEF-7204-946F-D2C7A63A3B2B,Clio Cummings,Biography & Autobiography,BTC48OKU6PQ,5.34
1E18F262-A8DE-91EE-8CCE-AAD60B40284A,Aline Cash,Political Science,XUQ80HDI6XQ,5.35
93ACB0BA-5A37-24BA-D75C-C009E8915174,Grant Reese,Pets,XDJ11BBW8FL,4.79
BA6013D8-0061-2B1C-9E34-A904E536485C,Mohammad Hobbs,Poetry,OPQ03XIG5YX,4.74
6C11992E-A8C5-522A-0B53-597832AE927A,Carlos Robertson,Fiction,DIC72SHQ5PS,4.54
08F03E56-194E-0A02-6664-E21D574C4D96,Indigo Woodard,Pets,MYU51YYD3PZ,5.41
C176DE4B-ADBC-8C96-FC66-B7A5563BB140,Anne Morales,Biography & Autobiography,PFC49VSQ4HF,4.55
4A257A8B-8D57-671C-2A39-FBF52A26338C,Aidan Fuentes,Political Science,MPX76MDY8HR,5.08
014C01A3-C13A-8A3A-453A-66AB548419C4,Abigail Hutchinson,Political Science,FEV16HEU6SR,5.31
8898A2D4-E25D-3D34-C31B-D44725E3ECDB,Quinlan Key,Biography & Autobiography,DSA78ELD3JI,4.68
16710814-337C-2E7C-B84C-C02AC906E33A,Lucius Grant,Poetry,WPX36NSX7HY,5.36
83C3EFDD-A972-9A5D-9069-C5134C6493C0,Mufutau White,History,CFE54DJY9QA,5.09
CD1911C5-48E2-F5A9-8756-8855306C9F30,Jamal Baker,Health & Fitness,PEZ36GCP5LZ,5.44
D3853F82-E5D4-5543-A9EB-F2A011A436A2,Salvador Mcfarland,Technology & Engineering,OLC66MEP6DJ,4.71
453F116B-21DF-E43A-54BC-8758AB378262,Veda Stone,Technology & Engineering,RTZ98OTQ5IG,4.99
A435FEAC-B364-2DD4-1349-6D5B2A8F7D87,Felicia Pugh,Health & Fitness,CJL62BUS2SJ,4.67
2913EA8E-C9DF-3C52-0672-A712A39702A2,Thane Lambert,Health & Fitness,BKB49GDO1WX,5.42
0E89D4E4-916B-EA31-8C22-B488545DBF9E,Morgan Watson,Political Science,HGI58IBV5UU,4.88
B0DC10BE-BC6B-1EEA-920E-023241DAB88E,Rudyard Wolf,Biography & Autobiography,SHO54BPL0QX,4.99
E45C2DAB-D3BA-4802-AAA6-22AAE9F19B83,Kane Holder,Health & Fitness,TLC65FFU7WS,4.46
736DB622-5176-42C3-11C0-E0F380AED2B7,Shay Shannon,Technology & Engineering,FRO65QYA1BK,5.12
6EC3C634-E19E-07F0-4C07-11DCD1592BA7,Hedwig Underwood,Fiction,KVY51HSG1HZ,5.10
ADB28B61-BC26-9259-6BAA-DBC0F6BC48F3,Akeem Maddox,Pets,IHB81LFY3PL,4.57
659286BE-73D7-B8BE-B913-020AD6C728ED,Damian Meyers,History,YJJ72EFI5AH,5.11
7B648A27-D137-13B7-9983-FFBDD8887538,Rowan Mcdowell,Psychology,VDJ28IVE7IK,5.29
1AA072FA-F847-231E-A315-8B71F861EC64,Shana Mejia,Poetry,QRB47XJL3PI,4.92
7DC3DB16-2BA7-3520-9379-16552235E564,Candice Kaufman,Fiction,DMD85OPT7TK,4.88
35B4DC86-4039-A138-4F83-FBDC98D7537D,Zane Boone,Psychology,EWL95VRC1BR,5.15
C5FBE712-BABB-9331-C060-A71613269972,Breanna Johnston,Political Science,KUO38EIG8NA,5.04
2C15D54C-F502-5112-3DCA-181B03BE4277,Thomas Finch,Business & Economics,SYQ89LJW7IZ,5.36
03AD1F49-97E3-9796-1453-EBCBC5DFF9AE,Cathleen Whitney,Fiction,TLD83AJE0WT,4.89
64E32369-851A-1103-E5B9-A196D681DA09,Shelly Gonzales,Health & Fitness,IUE29WEV0LH,5.30
199D735A-6675-8457-7D18-E239488788C7,Ezekiel Guerra,Fiction,MRT40SJL1LF,4.95
C93CC57F-C2BC-8D1E-DEF4-5D7003CC9BE8,Chancellor Melendez,Pets,FJE98EDS4OI,4.95
B546C830-3F93-D6A0-CCA7-2A43B56C97E4,Darryl Brock,Technology & Engineering,BSP34STD1RL,4.52
01DDB767-6FE7-743C-6EC6-9CDDDE5991EE,Jana Flowers,Business & Economics,WEE17XVB6IG,5.03
486FFC1B-C5DC-C345-61DC-D7BD8EB683B8,Aiko Wolfe,Biography & Autobiography,RVK16QAH7FK,5.18
85B1BA78-416B-A555-3028-3DBBD9ACDBB5,Aidan Boyer,Poetry,JQX13PVT2DS,5.47
B3627493-79CC-98E5-44FB-5C9784750813,Demetrius Ramirez,Business & Economics,BTC87UQF2SV,5.05
983F7236-D216-F6C0-F4D3-9B49F145B3FB,Shelly Snider,Poetry,NXJ31PBC2VY,4.97
