StaffID,Name,Password
064E17D2-5A3C-70DE-A368-F82BC406688F,Linda Cline,UMQ92KAC6GC
446DD0AE-74CD-67D6-2CFB-988A4C18BA17,Quinn Hinton,RRP87CRY1ZA
9A9171D7-2272-3215-EB54-2C3685323D13,Kieran Maldonado,GUZ50BSM8JK
0C94E9EE-5C98-DADC-6912-07FEE8E5A499,Zoe Molina,UBG96OFM3FK
1236E488-A92E-D788-64BA-37C2E0134813,Rafael Marsh,JPK97JQX6QT
AE437F78-9298-1C13-13E3-5DCE11EA92E3,Tyrone Preston,FNE88VGZ4CK
CB69E71F-3ACB-29E1-3ED7-8302C2E2CA89,Thor Allison,UTD81WIP8VT
55645444-A9C4-C3D4-A785-4A68D1467F4C,Elaine Church,UBH43TTT9SA
A5307082-52AC-974D-4E08-C5B72B1406E7,Martina Price,PPX38KMP6RH
ED2CB743-CB9C-43C4-B8F9-5335D3055BFE,Jared Elliott,YHT34PPF6BE
67DB8329-480C-4F70-D669-4A77AC2E6F07,Fitzgerald Paul,NLR27SPF9BY
A8514481-6418-486A-1549-8A813453763E,Dahlia Church,GXW03LBW0KU
61E43FB9-F366-F9B5-DB04-18DE5B455B34,Rylee Ratliff,AHH22OVN4VP
D7819D56-5F6F-00B7-5753-0071E2695EC6,Florence Raymond,XEZ68HIH6TF
B5AB59D1-80DC-8D1C-263A-5FC80761E2F7,Kaitlin Holcomb,NRM47OQV6ZZ
